Complexity,n,USL_hours,mean_hours,median_hours,skewness,observed_yield,p95_hours,p99_hours,p99_margin_hours,normal_ppu_diagnostic_only
Low,75745,8.0,3.6356455585771146,3.291588897855,5.047963540797148,0.9767905472308404,5.787501146670667,11.584808259432183,-3.584808259432183,0.8453927736101216
Medium,15428,16.0,4.127763102725646,3.6896437292208324,4.7129193117977675,0.9948146227638061,6.641886409704582,14.084888914563576,1.9151110854364237,1.9083628493041562
High,6805,24.0,11.228449738805734,11.169461636603334,0.8532691671859639,0.9684055841293167,21.84313319720166,28.6090540357466,-4.609054035746599,0.6996698889471721
